rank,country,score
1,Denmark,91
1,New Zealand,91
3,Finland,90
4,Sweden,89
5,Norway,88
6,Switzerland,86
7,Luxembourg,85
7,Singapore,85
9,Netherlands,84
10,Canada,83
11,Germany,81
11,United Kingdom,81
13,Australia,79
13,Iceland,79
15,Belgium,77
16,Austria,76
16,United States,76
18,Hong Kong,75
18,Ireland,75
18,Japan,75
21,Uruguay,74
22,Qatar,71
23,Chile,70
23,Estonia,70
23,France,70
23,United Arab Emirates,70
27,Bhutan,65
28,Portugal,64
29,Botswana,63
29,Poland,63
31,Taiwan,62
32,Cyprus,61
32,Israel,61
34,Malta,60
34,Slovenia,60
36,Lithuania,59
37,Spain,58
38,Czech Republic,56
38,Latvia,56
40,Cape Verde,55
40,Costa Rica,55
40,Seychelles,55
43,Korea (South),54
43,Rwanda,54
45,Jordan,53
45,Mauritius,53
45,Namibia,53
48,Georgia,52
48,Saudi Arabia,52
50,Bahrain,51
50,Croatia,51
50,Hungary,51
50,Slovakia,51
54,Malaysia,50
55,Kuwait,49
56,Cuba,47
56,Ghana,47
58,Greece,46
58,Romania,46
60,Oman,45
61,Italy,44
61,Lesotho,44
61,Montenegro,44
61,Senegal,44
61,South Africa,44
66,Sao Tome and Principe,42
66,The FYR of Macedonia,42
66,Turkey,42
69,Bulgaria,41
69,Jamaica,41
71,Serbia,40
72,El Salvador,39
72,Mongolia,39
72,Panama,39
72,Trinidad and Tobago,39
76,Bosnia and Herzegovina,38
76,Brazil,38
76,Burkina Faso,38
76,India,38
76,Thailand,38
76,Tunisia,38
76,Zambia,38
83,Benin,37
83,China,37
83,Colombia,37
83,Liberia,37
83,Sri Lanka,37
88,Albania,36
88,Algeria,36
88,Egypt,36
88,Indonesia,36
88,Morocco,36
88,Peru,36
88,Suriname,36
95,Armenia,35
95,Mali,35
95,Philippines,35
98,Bolivia,34
98,Djibouti,34
98,Gabon,34
98,Niger,34
102,Dominican Republic,33
102,Ethiopia,33
102,Kosovo,33
102,Moldova,33
106,Argentina,32
106,Belarus,32
106,C™te d«Ivoire,32
106,Ecuador,32
106,Togo,32
111,Honduras,31
111,Malawi,31
111,Mauritania,31
111,Mexico,31
111,Mozambique,31
111,Vietnam,31
117,Pakistan,30
117,Tanzania,30
119,Azerbaijan,29
119,Guyana,29
119,Russia,29
119,Sierra Leone,29
123,Gambia,28
123,Guatemala,28
123,Kazakhstan,28
123,Kyrgyzstan,28
123,Lebanon,28
123,Madagascar,28
123,Timor-Leste,28
130,Cameroon,27
130,Iran,27
130,Nepal,27
130,Nicaragua,27
130,Paraguay,27
130,Ukraine,27
136,Comoros,26
136,Nigeria,26
136,Tajikistan,26
139,Bangladesh,25
139,Guinea,25
139,Kenya,25
139,Laos,25
139,Papua New Guinea,25
139,Uganda,25
145,Central African Republic,24
146,Congo Republic,23
147,Chad,22
147,Democratic Republic of the Congo,22
147,Myanmar,22
150,Burundi,21
150,Cambodia,21
150,Zimbabwe,21
153,Uzbekistan,19
154,Eritrea,18
154,Syria,18
154,Turkmenistan,18
154,Yemen,18
158,Guinea-Bissau,17
158,Haiti,17
158,Venezuela,17
161,Iraq,16
161,Libya,16
163,Angola,15
163,South Sudan,15
165,Sudan,12
166,Afghanistan,11
167,Korea (North),8
167,Somalia,8
