Country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Armenia,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Azerbaijan,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2,2,2,2,2,2,2,2,NA,NA,NA,NA,0,0,NA
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Cambodia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cameroon,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Central African Republic,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Chad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Republic of Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Democratic Republic of the Congo,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cuba,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Djibouti,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Egypt,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Equatorial Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eritrea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Gambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guinea,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Guinea-Bissau,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Haiti,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Ivory Coast,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
North Korea,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
