Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,0.000940949,0.000918692,0.000949223,0.000967668,0.002361284,0.001948056,0.001972589,0.00225777,0.003265236,0.002423296,0.003363897,0.002860261,,,
Africa Eastern and Southern,11.10980076,13.07768823,19.47034585,10.48207754,12.43962923,14.37993528,11.60248041,11.00753434,9.465804285,6.380067148,6.849476158,7.708904183,7.376520665,6.150920062,
Afghanistan,0.50226549,0.449365386,0.611295447,0.418062902,0.609980533,0.879277901,0.702276007,0.54588231,0.544477424,0.495307093,0.677458944,0.696790427,0.915366189,0.773957273,
Africa Western and Central,17.9205237,16.81886869,19.20835436,12.03409703,15.05866066,19.44426088,17.51686553,13.65677947,11.71705805,6.466216105,6.408503051,9.516194869,11.14224227,8.947269344,
Angola,43.49004533,46.27901193,55.85217033,30.73249868,40.14246391,41.15369433,36.22851635,30.81602521,23.67103715,10.80155578,10.85711419,16.45241141,27.42822035,26.19426737,
Albania,1.321831442,1.761086092,1.10999895,0.605979694,1.57450583,3.178895493,3.377276961,2.947406347,3.075781739,1.621620436,1.333386872,1.357555735,1.818064699,1.591731888,
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arab World,36.65984262,33.49276004,38.24925432,24.91096985,29.27001523,36.3061771,35.29894372,32.20399768,28.51403966,16.91894194,13.9648135,17.9283686,22.72098563,20.18068412,
United Arab Emirates,26.1659372,23.9858608,28.41339857,19.23568093,22.65124301,30.0976913,29.88362697,27.12999506,24.24404646,14.05058311,11.34571449,13.60599291,17.32477033,16.75662049,
Argentina,6.135958797,4.995812922,5.038827371,3.069357206,3.329394894,3.708190851,3.40459291,3.000047416,2.733557678,1.081226358,0.936007816,1.126360021,2.129515087,2.071184086,
Armenia,0.015802557,0.009295978,0.213475225,0.374259981,2.65466288,2.923458164,1.490134089,1.097153902,0.306948917,0.760031512,0.221817709,0.245915928,1.090181063,2.110668897,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,5.315977242,6.508260772,8.634399582,5.056301065,8.098652395,8.680602707,5.391204595,5.305817804,4.757327855,3.27865687,4.073667915,5.056164952,5.480415437,5.355855605,
Austria,0.195236488,0.222309602,0.251363163,0.169129336,0.225823693,0.2714783,0.253971115,0.224092162,0.188548745,0.134802777,0.116954332,0.127273078,0.155087806,0.132720137,
Azerbaijan,42.03791099,39.21776129,41.2174798,28.44834562,32.18880618,35.22316043,31.417091,26.98555118,23.03323184,14.56859577,15.36542908,21.08009595,29.2523744,25.46083764,
Burundi,23.94917947,32.35635676,33.04824404,30.33665757,23.8533749,24.98766731,17.52804737,17.49531308,17.44628107,15.53249535,17.04366094,15.98238145,11.32126547,9.212709114,
Belgium,0.017761917,0.019097351,0.018437617,0.017385475,0.019304595,0.019296677,0.018639188,0.019350124,0.020014358,0.019531679,0.020032096,0.016587447,0.018933865,0.01635131,
Benin,3.051472814,3.631712452,3.663523922,3.717822331,3.42233007,3.478769033,3.916430014,3.515618529,3.7046153,4.304299508,4.456240198,4.136675463,2.455665006,2.033434381,
Burkina Faso,6.433447653,7.812924133,8.596970708,9.578453279,11.08609183,13.63583127,12.39207756,10.64952569,10.31090556,11.63285023,12.6165481,12.38951813,8.458797077,4.186709333,
Bangladesh,1.330760407,1.195674929,1.121736569,1.169836819,1.131255835,1.627030488,1.597889172,1.168403922,1.118407145,0.934311292,0.601728069,0.576675407,0.60162958,0.453838329,
Bulgaria,1.857385718,1.707307924,1.961671196,0.707920264,1.70442186,2.188475056,1.646026718,1.123562824,0.790282215,0.65940609,0.535016679,0.760250118,0.706368691,0.396919026,
Bahrain,6.99357572,6.669282521,7.373061106,6.158985406,5.940849921,8.163854546,8.841223302,9.311952763,8.591922786,5.129701491,3.194381525,3.384925052,4.397892075,3.798819671,
"Bahamas, The",0.007401859,0.007864169,0.008815082,0.008625399,0.015294778,0.013281663,0.012326209,0.014526055,0.017725215,0.014446952,0.01728157,0.017470648,0.013031992,0.011269859,
Bosnia and Herzegovina,1.643181084,2.122046419,3.649307483,1.472183903,2.745691524,3.581353026,2.260744613,1.782646423,1.239951392,1.013488849,1.061191162,1.273524233,1.16874725,0.989039913,
Belarus,1.690162355,1.54934508,1.534738229,1.094860881,1.34016837,1.741291732,1.815881039,1.483204749,1.336655453,1.153056425,1.273324545,1.572906632,1.729885198,1.773031832,
Belize,3.246747386,4.211799311,6.196879621,3.723506026,5.353921435,6.94195996,4.836407683,3.55602683,2.647984167,1.208047792,1.048132666,1.345042056,1.719205388,1.522396279,
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,14.49402925,14.77217275,12.47739903,7.203985646,9.332978322,12.76699088,11.38811245,10.74531592,8.829187104,3.767257349,3.324658637,5.717104975,5.725014074,3.887905009,
Brazil,3.891479242,4.112540315,4.755332288,2.37315714,3.658331699,4.259057115,3.81257935,3.787552705,3.2658568,2.386846557,2.421926728,2.858329731,3.808591626,3.465230555,
Barbados,0.436737154,0.370571692,0.48957215,0.268697663,0.374827428,0.549823583,0.540248198,0.50416739,0.450744868,0.184925552,0.137143974,0.211111582,0.31038954,0.270213691,
Brunei Darussalam,35.27313876,27.48601824,28.92093534,23.11556538,23.45035974,29.6620696,26.64196791,22.46210788,22.02380194,19.41882555,15.11846515,17.52815663,25.37993824,22.21259298,
Bhutan,3.393360957,4.302106956,4.202368544,3.535869455,5.305079262,4.922551785,4.222047525,3.426397378,3.418838606,4.028295413,4.448622576,3.359670109,1.998535908,2.195491258,
Botswana,6.304856416,7.161354657,3.890166714,2.220855513,2.079115057,1.860334602,2.173313807,1.347993342,0.875593362,0.740622265,0.721377064,0.800948896,0.756371425,0.657050779,
Central African Republic,10.02769679,9.94663285,11.76283803,8.794977632,7.908126518,8.442391237,9.16089389,12.89708444,11.294765,12.66145709,13.02719792,13.82420515,10.83018287,8.349470145,
Canada,3.855634626,3.657038005,5.00726984,2.02493532,2.250735833,2.967690634,1.803765549,1.911514651,1.660843713,0.334893277,0.785263944,1.270056559,2.121613074,1.895037949,
